route_family,slug,url,title,h1,words,links,review_links,tool_links,answer_links,browse_links,has_form,borrowing_quiz_link,gsc_avg_position,gsc_clicks,gsc_impressions,gsc_ctr
city,sacramento-ca,https://www.creditdoc.co/city/sacramento-ca/,"Credit Repair & Financial Services in Sacramento, CA (2026)",Credit Repair & Financial Services in Sacramento,2922,206,35,21,0,4,False,True,6.5,0,2,0
city,bartlett-tn,https://www.creditdoc.co/city/bartlett-tn/,"Credit Repair & Financial Services in Bartlett, TN (2026)",Credit Repair & Financial Services in Bartlett,1853,184,17,21,0,1,False,True,10,0,2,0
city,tempe-az,https://www.creditdoc.co/city/tempe-az/,"Credit Repair & Financial Services in Tempe, AZ (2026)",Credit Repair & Financial Services in Tempe,2218,191,20,21,0,1,False,True,12,0,2,0
city,brandon-fl,https://www.creditdoc.co/city/brandon-fl/,"Credit Repair & Financial Services in Brandon, FL (2026)",Credit Repair & Financial Services in Brandon,1827,181,11,21,0,1,False,True,45.5,0,2,0
city,irvine-ca,https://www.creditdoc.co/city/irvine-ca/,"Credit Repair & Financial Services in Irvine, CA (2026)",Credit Repair & Financial Services in Irvine,2218,192,19,21,0,2,False,True,80,0,2,0
city,independence-mo,https://www.creditdoc.co/city/independence-mo/,"Credit Repair & Financial Services in Independence, MO",Credit Repair & Financial Services in Independence,1864,184,17,21,0,1,False,True,2,0,1,0
city,louisville-ky,https://www.creditdoc.co/city/louisville-ky/,"Credit Repair & Financial Services in Louisville, KY (2026)",Credit Repair & Financial Services in Louisville,3551,220,41,21,0,5,False,True,2,0,1,0
city,austin-tx,https://www.creditdoc.co/city/austin-tx/,"Credit Repair & Financial Services in Austin, TX (2026)",Credit Repair & Financial Services in Austin,5755,262,72,21,0,10,False,True,4,0,1,0
city,greenwood-village-co,https://www.creditdoc.co/city/greenwood-village-co/,"Credit Repair & Financial Services in Greenwood Village, CO",Credit Repair & Financial Services in Greenwood Village,1474,173,10,21,0,0,False,True,4,0,1,0
city,memphis-tn,https://www.creditdoc.co/city/memphis-tn/,"Credit Repair & Financial Services in Memphis, TN (2026)",Credit Repair & Financial Services in Memphis,5002,249,62,21,0,8,False,True,4,0,1,0
city,nashville-tn,https://www.creditdoc.co/city/nashville-tn/,"Credit Repair & Financial Services in Nashville, TN (2026)",Credit Repair & Financial Services in Nashville,5408,254,68,21,0,10,False,True,4,0,1,0
city,overland-park-ks,https://www.creditdoc.co/city/overland-park-ks/,"Credit Repair & Financial Services in Overland Park, KS",Credit Repair & Financial Services in Overland Park,1757,182,14,21,0,0,False,True,4,0,1,0
city,la-mesa-ca,https://www.creditdoc.co/city/la-mesa-ca/,"Credit Repair & Financial Services in La Mesa, CA (2026)",Credit Repair & Financial Services in La Mesa,1757,181,12,21,0,1,False,True,5,0,1,0
city,kansas-city-mo,https://www.creditdoc.co/city/kansas-city-mo/,"Credit Repair & Financial Services in Kansas City, MO (2026)",Credit Repair & Financial Services in Kansas City,3295,215,36,21,0,5,False,True,6,0,1,0
city,kingsland-ga,https://www.creditdoc.co/city/kingsland-ga/,"Credit Repair & Financial Services in Kingsland, GA (2026)",Credit Repair & Financial Services in Kingsland,1742,176,14,21,0,1,False,True,6,0,1,0
city,salt-lake-city-ut,https://www.creditdoc.co/city/salt-lake-city-ut/,"Credit Repair & Financial Services in Salt Lake City, UT",Credit Repair & Financial Services in Salt Lake City,2359,195,24,21,0,2,False,True,7,0,1,0
city,san-antonio-tx,https://www.creditdoc.co/city/san-antonio-tx/,"Credit Repair & Financial Services in San Antonio, TX (2026)",Credit Repair & Financial Services in San Antonio,6175,265,69,21,0,12,False,True,9,0,1,0
city,brooklyn-ny,https://www.creditdoc.co/city/brooklyn-ny/,"Credit Repair & Financial Services in Brooklyn, NY (2026)",Credit Repair & Financial Services in Brooklyn,4948,246,64,21,0,7,False,True,11,0,1,0
city,charlotte-nc,https://www.creditdoc.co/city/charlotte-nc/,"Credit Repair & Financial Services in Charlotte, NC (2026)",Credit Repair & Financial Services in Charlotte,5328,252,64,21,0,9,False,True,11,0,1,0
city,waukesha-wi,https://www.creditdoc.co/city/waukesha-wi/,"Credit Repair & Financial Services in Waukesha, WI (2026)",Credit Repair & Financial Services in Waukesha,1422,173,10,21,0,0,False,True,11,0,1,0
city,vista-ca,https://www.creditdoc.co/city/vista-ca/,"Credit Repair & Financial Services in Vista, CA (2026)",Credit Repair & Financial Services in Vista,1695,178,10,21,0,0,False,True,44,0,1,0
city,mesquite-tx,https://www.creditdoc.co/city/mesquite-tx/,"Credit Repair & Financial Services in Mesquite, TX (2026)",Credit Repair & Financial Services in Mesquite,1852,182,16,21,0,1,False,True,65,0,1,0
city,norcross-ga,https://www.creditdoc.co/city/norcross-ga/,"Credit Repair & Financial Services in Norcross, GA (2026)",Credit Repair & Financial Services in Norcross,1845,182,16,21,0,1,False,True,88,0,1,0
city,corpus-christi-tx,https://www.creditdoc.co/city/corpus-christi-tx/,"Credit Repair & Financial Services in Corpus Christi, TX",Credit Repair & Financial Services in Corpus Christi,1707,180,14,21,0,0,False,True,96,0,1,0
city,portland-or,https://www.creditdoc.co/city/portland-or/,"Credit Repair & Financial Services in Portland, OR (2026)",Credit Repair & Financial Services in Portland,2723,205,32,21,0,3,False,True,96,0,1,0
